route,date,day_of_week,days_prior,competitor_price,price,bookings,capacity,is_weekend
LHR-DXB,2026-03-22,6,35,884.18,786.66,200,200,1
JFK-LHR,2026-04-23,3,67,469.2,486.63,135,200,0
LHR-JFK,2026-03-29,6,42,650.35,676.37,143,200,1
JFK-LHR,2026-04-12,6,56,575.61,738.34,84,200,1
JFK-SFO,2026-04-19,6,63,362.51,384.05,131,200,1
JFK-SFO,2026-05-07,3,81,295.72,362.02,105,200,0
LHR-JFK,2026-03-18,2,31,541.45,594.06,115,200,0
LHR-DXB,2026-04-26,6,70,785.66,898.12,112,200,1
JFK-SFO,2026-04-29,2,73,311.06,324.51,126,200,0
LHR-DXB,2026-03-06,4,19,756.91,637.52,195,200,0
DXB-LHR,2026-03-25,2,38,674.48,641.36,166,200,0
SFO-JFK,2026-02-20,4,5,400.77,407.29,148,200,0
SFO-JFK,2026-03-28,5,41,375.25,368.63,154,200,1
LHR-DXB,2026-04-05,6,49,937.38,787.95,200,200,1
SFO-JFK,2026-02-17,1,2,458.54,507.65,114,200,0
LHR-JFK,2026-04-27,0,71,494.09,536.54,135,200,0
DXB-LHR,2026-04-06,0,50,742.59,807.55,125,200,0
LHR-DXB,2026-03-10,1,23,804.55,647.39,200,200,0
JFK-LHR,2026-05-16,5,90,569.08,606.63,119,200,1
LHR-JFK,2026-03-07,5,20,684.22,579.97,200,200,1
LHR-JFK,2026-04-25,5,69,571.83,684.44,112,200,1
LHR-DXB,2026-04-22,2,66,671.92,622.95,165,200,0
DXB-LHR,2026-03-04,2,17,804.04,677.74,200,200,0
LHR-JFK,2026-05-07,3,81,504.38,478.66,159,200,0
SFO-JFK,2026-04-17,4,61,294.72,364.4,99,200,0
LHR-JFK,2026-05-12,1,86,471.52,567.95,111,200,0
SFO-JFK,2026-04-30,3,74,330.27,289.11,200,200,0
JFK-LHR,2026-05-03,6,77,587.23,705.21,98,200,1
LHR-JFK,2026-04-10,4,54,466.45,448.65,169,200,0
JFK-SFO,2026-03-18,2,31,294.45,257.56,191,200,0
JFK-SFO,2026-03-19,3,32,337.09,307.66,196,200,0
LHR-JFK,2026-03-01,6,14,711.97,605.04,193,200,1
JFK-SFO,2026-03-07,5,20,396.16,385.0,159,200,1
SFO-JFK,2026-02-21,5,6,419.59,387.89,176,200,1
DXB-LHR,2026-04-09,3,53,695.85,783.85,122,200,0
DXB-LHR,2026-04-26,6,70,870.81,869.12,148,200,1
JFK-SFO,2026-02-22,6,7,410.23,447.62,134,200,1
LHR-DXB,2026-04-04,5,48,887.37,952.25,127,200,1
LHR-JFK,2026-04-26,6,70,581.48,597.79,132,200,1
LHR-DXB,2026-03-18,2,31,700.68,844.7,101,200,0
LHR-DXB,2026-04-15,2,59,697.42,741.78,138,200,0
JFK-LHR,2026-03-17,1,30,488.16,578.94,116,200,0
JFK-LHR,2026-04-29,2,73,559.23,601.07,119,200,0
JFK-SFO,2026-03-07,5,20,381.28,407.89,143,200,1
SFO-JFK,2026-04-30,3,74,313.39,354.15,118,200,0
LHR-DXB,2026-04-26,6,70,908.31,878.98,168,200,1
SFO-JFK,2026-04-08,2,52,319.89,360.92,108,200,0
DXB-LHR,2026-03-06,4,19,776.16,800.04,143,200,0
JFK-SFO,2026-05-09,5,83,356.72,362.65,157,200,1
LHR-JFK,2026-04-20,0,64,503.2,461.48,193,200,0
LHR-JFK,2026-04-24,4,68,553.04,451.3,200,200,0
LHR-DXB,2026-03-12,3,25,755.89,860.03,120,200,0
LHR-JFK,2026-04-19,6,63,567.88,631.77,123,200,1
DXB-LHR,2026-04-23,3,67,673.13,617.19,188,200,0
DXB-LHR,2026-03-26,3,39,756.06,601.74,200,200,0
JFK-LHR,2026-02-16,0,1,980.38,1114.28,111,200,0
JFK-LHR,2026-03-17,1,30,573.39,502.21,195,200,0
LHR-JFK,2026-02-23,0,8,573.44,598.56,133,200,0
SFO-JFK,2026-04-22,2,66,285.18,254.77,195,200,0
JFK-LHR,2026-05-14,3,88,522.04,425.02,200,200,0
LHR-DXB,2026-03-18,2,31,810.35,715.94,200,200,0
LHR-DXB,2026-05-08,4,82,693.29,619.75,176,200,0
LHR-DXB,2026-04-19,6,63,859.3,715.02,200,200,1
